Year,Month,Day,Sum of Total_Bookings,Sum of adr,Sum of revenue,Cancellation %
2016,February,27,,12128100.03,32877649.66,0.371373064
2016,February,28,,12128100.03,32877649.66,0.371373064
2016,March,1,,12128100.03,32877649.66,0.371373064
2016,March,2,,12128100.03,32877649.66,0.371373064
2016,March,3,,12128100.03,32877649.66,0.371373064
2016,March,4,,12128100.03,32877649.66,0.371373064
2016,March,5,,12128100.03,32877649.66,0.371373064
2016,March,6,,12128100.03,32877649.66,0.371373064
2016,March,7,,12128100.03,32877649.66,0.371373064
2016,March,8,,12128100.03,32877649.66,0.371373064
2016,March,9,,12128100.03,32877649.66,0.371373064
2016,March,10,,12128100.03,32877649.66,0.371373064
2016,March,11,,12128100.03,32877649.66,0.371373064
2016,March,12,,12128100.03,32877649.66,0.371373064
2016,March,13,,12128100.03,32877649.66,0.371373064
2016,March,14,,12128100.03,32877649.66,0.371373064
2016,March,15,,12128100.03,32877649.66,0.371373064
2016,March,16,,12128100.03,32877649.66,0.371373064
2016,March,17,,12128100.03,32877649.66,0.371373064
2016,March,18,,12128100.03,32877649.66,0.371373064
2016,March,19,,12128100.03,32877649.66,0.371373064
2016,March,20,,12128100.03,32877649.66,0.371373064
2016,March,21,,12128100.03,32877649.66,0.371373064
2016,March,22,,12128100.03,32877649.66,0.371373064
2016,March,23,,12128100.03,32877649.66,0.371373064
2016,March,24,,12128100.03,32877649.66,0.371373064
2016,March,25,,12128100.03,32877649.66,0.371373064
2016,March,26,,12128100.03,32877649.66,0.371373064
2016,March,27,,12128100.03,32877649.66,0.371373064
2016,March,28,,12128100.03,32877649.66,0.371373064
2016,March,29,,12128100.03,32877649.66,0.371373064
2016,March,30,,12128100.03,32877649.66,0.371373064
2016,April,1,,12128100.03,32877649.66,0.371373064
2016,April,2,,12128100.03,32877649.66,0.371373064
2016,April,3,,12128100.03,32877649.66,0.371373064
2016,April,4,,12128100.03,32877649.66,0.371373064
2016,April,5,,12128100.03,32877649.66,0.371373064
2016,April,6,,12128100.03,32877649.66,0.371373064
2016,April,7,,12128100.03,32877649.66,0.371373064
2016,April,8,,12128100.03,32877649.66,0.371373064
2016,April,9,,12128100.03,32877649.66,0.371373064
2016,April,10,,12128100.03,32877649.66,0.371373064
2016,April,11,,12128100.03,32877649.66,0.371373064
2016,April,12,,12128100.03,32877649.66,0.371373064
2016,April,13,,12128100.03,32877649.66,0.371373064
2016,April,14,,12128100.03,32877649.66,0.371373064
2016,April,15,,12128100.03,32877649.66,0.371373064
2016,April,16,,12128100.03,32877649.66,0.371373064
2016,April,17,,12128100.03,32877649.66,0.371373064
2016,April,18,,12128100.03,32877649.66,0.371373064
2016,April,19,,12128100.03,32877649.66,0.371373064
2016,April,20,,12128100.03,32877649.66,0.371373064
2016,April,21,,12128100.03,32877649.66,0.371373064
2016,April,22,,12128100.03,32877649.66,0.371373064
2016,April,23,,12128100.03,32877649.66,0.371373064
2016,April,24,,12128100.03,32877649.66,0.371373064
2016,April,25,,12128100.03,32877649.66,0.371373064
2016,April,26,,12128100.03,32877649.66,0.371373064
2016,April,27,,12128100.03,32877649.66,0.371373064
2016,April,28,,12128100.03,32877649.66,0.371373064
2016,April,29,,12128100.03,32877649.66,0.371373064
2016,May,1,,12128100.03,32877649.66,0.371373064
2016,May,2,,12128100.03,32877649.66,0.371373064
2016,May,3,,12128100.03,32877649.66,0.371373064
2016,May,4,,12128100.03,32877649.66,0.371373064
2016,May,5,,12128100.03,32877649.66,0.371373064
2016,May,6,,12128100.03,32877649.66,0.371373064
2016,May,7,,12128100.03,32877649.66,0.371373064
2016,May,8,,12128100.03,32877649.66,0.371373064
2016,May,9,,12128100.03,32877649.66,0.371373064
2016,May,10,,12128100.03,32877649.66,0.371373064
2016,May,11,,12128100.03,32877649.66,0.371373064
2016,May,12,,12128100.03,32877649.66,0.371373064
2016,May,13,,12128100.03,32877649.66,0.371373064
2016,May,14,,12128100.03,32877649.66,0.371373064
2016,May,15,,12128100.03,32877649.66,0.371373064
2016,May,16,,12128100.03,32877649.66,0.371373064
2016,May,17,,12128100.03,32877649.66,0.371373064
2016,May,18,,12128100.03,32877649.66,0.371373064
2016,May,19,,12128100.03,32877649.66,0.371373064
2016,May,20,,12128100.03,32877649.66,0.371373064
2016,May,21,,12128100.03,32877649.66,0.371373064
2016,May,22,,12128100.03,32877649.66,0.371373064
2016,May,23,,12128100.03,32877649.66,0.371373064
2016,May,24,,12128100.03,32877649.66,0.371373064
2016,May,25,,12128100.03,32877649.66,0.371373064
2016,May,26,,12128100.03,32877649.66,0.371373064
2016,May,27,,12128100.03,32877649.66,0.371373064
2016,May,28,,12128100.03,32877649.66,0.371373064
2016,May,29,,12128100.03,32877649.66,0.371373064
2016,May,30,,12128100.03,32877649.66,0.371373064
2016,June,1,,12128100.03,32877649.66,0.371373064
2016,June,2,,12128100.03,32877649.66,0.371373064
2016,June,3,,12128100.03,32877649.66,0.371373064
2016,June,4,,12128100.03,32877649.66,0.371373064
2016,June,5,,12128100.03,32877649.66,0.371373064
2016,June,6,,12128100.03,32877649.66,0.371373064
2016,June,7,,12128100.03,32877649.66,0.371373064
2016,June,8,,12128100.03,32877649.66,0.371373064
2016,June,9,,12128100.03,32877649.66,0.371373064
2016,June,10,,12128100.03,32877649.66,0.371373064
2016,June,11,,12128100.03,32877649.66,0.371373064
2016,June,12,,12128100.03,32877649.66,0.371373064
2016,June,13,,12128100.03,32877649.66,0.371373064
2016,June,14,,12128100.03,32877649.66,0.371373064
2016,June,15,,12128100.03,32877649.66,0.371373064
2016,June,16,,12128100.03,32877649.66,0.371373064
2016,June,17,,12128100.03,32877649.66,0.371373064
2016,June,18,,12128100.03,32877649.66,0.371373064
2016,June,19,,12128100.03,32877649.66,0.371373064
2016,June,20,,12128100.03,32877649.66,0.371373064
2016,June,21,,12128100.03,32877649.66,0.371373064
2016,June,22,,12128100.03,32877649.66,0.371373064
2016,June,23,,12128100.03,32877649.66,0.371373064
2016,June,24,,12128100.03,32877649.66,0.371373064
